#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
68, 3.89377, 3.34018, 45.4833, 25.3979, 4.32523, 3.66348, 54.2263, 33.7584, 2.38657, 109.43, 98.2426, 9.35017, 43.5098, 0.754853, 9.96168
69, 4.34946, 3.65263, 51.5276, 29.742, 4.86227, 4.11503, 67.5981, 42.4234, 5.8469, 138.332, 127.131, 15.902, 49.6249, 7.16365, 10.8096
70, 3.90859, 3.49763, 38.3087, 19.0969, 4.61516, 4.17288, 53.2889, 33.6793, 3.66593, 102.475, 92.5711, 6.2755, 39.9133, 4.242, 9.13359
71, 3.88067, 3.47947, 51.4996, 28.319, 4.36845, 4.12726, 65.8289, 39.5385, 3.97061, 120.901, 109.591, 4.78174, 40.1136, 14.6327, 11.0826
72, 3.84066, 3.16973, 50.6526, 36.7605, 4.18253, 3.92915, 63.1168, 51.8431, 1.94489, 124.088, 113.17, -1.03399, 42.892, 8.22592, 11.9989
73, 4.09629, 3.35055, 52.6033, 39.7988, 4.40776, 4.00244, 62.8328, 55.1912, 1.88858, 135.68, 123.88, 4.99925, 46.6721, 4.40915, 11.7516
74, 4.15396, 3.51291, 49.1536, 36.2923, 4.67771, 4.22496, 62.9177, 46.5268, 3.33745, 130.034, 116.967, 6.91391, 47.5382, 4.23412, 11.1454
75, 3.71601, 3.50183, 45.6022, 35.2129, 4.16992, 4.08808, 60.5971, 46.9969, 2.0652, 121.643, 109.423, 2.31951, 46.3197, 2.5038, 11.7736
76, 3.76412, 3.53337, 44.8046, 28.9092, 4.50804, 4.1631, 59.2235, 38.8494, 2.5289, 113.523, 102.23, 3.91527, 44.467, 4.41039, 10.3461
77, 4.2473, 3.69305, 51.027, 27.6626, 4.62647, 4.27553, 65.3101, 38.891, 2.78274, 122.466, 112.292, 7.43409, 46.6491, 8.52507, 10.1359
