#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
178, 7.72779, 6.64768, 92.8649, 38.4646, 7.1776, 6.87716, 100.729, 70.9183, 3.36903, 195.802, 177.555, 6.19206, 75.7736, 9.42566, 15.5302
179, 7.34802, 6.68026, 83.5717, 35.4633, 6.93647, 6.81081, 96.4899, 67.0902, 2.94413, 183.154, 166.02, 2.83556, 72.3129, 7.53098, 16.646
180, 7.30175, 6.51109, 89.0789, 41.6562, 7.48338, 6.89104, 98.5573, 71.7501, 3.41178, 195.676, 176.275, 5.98146, 68.6055, 14.3427, 15.6091
181, 7.23758, 6.42674, 83.0555, 33.0377, 7.48022, 6.902, 92.9375, 59.0814, 3.74298, 168.516, 153.442, 2.07313, 64.2382, 14.0926, 14.6067
182, 7.31568, 6.57568, 90.7993, 39.3309, 6.93546, 6.79177, 94.7374, 71.981, 4.22944, 194.175, 175.263, 7.60473, 67.5483, 11.0613, 16.1278
183, 7.88109, 6.85369, 92.024, 35.5908, 7.37603, 7.20859, 104.705, 62.9353, 3.76821, 193.091, 175.424, 7.66716, 71.9603, 13.7736, 18.9711
184, 7.30364, 6.91032, 93.6434, 36.9241, 6.70419, 7.18439, 100.917, 69.8071, 4.20545, 196.87, 178.983, 8.15244, 73.1763, 9.75488, 17.986
185, 7.132, 6.42854, 91.5973, 33.9765, 6.89305, 7.02267, 98.4368, 62.6416, 2.28993, 180.39, 159.96, -0.0570049, 68.4076, 11.9845, 18.0448
186, 7.3286, 6.53971, 85.6925, 35.0503, 7.16263, 6.9531, 91.5962, 65.7508, 2.91388, 182.821, 162.24, 4.69174, 67.7181, 6.72156, 17.1566
187, 6.93065, 6.41869, 83.538, 34.0636, 7.03711, 6.83514, 88.428, 61.9946, 2.81298, 171.057, 153.647, 3.29778, 64.0558, 8.03121, 16.3411
188, 7.46242, 6.74705, 92.7467, 40.8424, 7.19227, 6.95201, 98.8445, 67.9149, 4.21163, 198.109, 178.694, 10.9144, 72.9834, 9.38423, 16.4769
189, 7.44187, 6.62909, 91.4644, 39.7116, 7.01475, 6.9837, 100.614, 70.8308, 3.72736, 196.7, 178.236, 7.00679, 73.1457, 10.055, 17.4133
190, 7.72643, 6.58116, 94.6952, 42.9148, 7.31636, 7.03706, 102.27, 72.4188, 3.31865, 200.507, 181.483, 6.8567, 72.1501, 13.0534, 17.0663
191, 7.44768, 6.41769, 94.9495, 37.8969, 7.12722, 7.08756, 96.4619, 71.7361, 3.19813, 190.687, 171.845, 4.16146, 69.4212, 10.1739, 16.8667
192, 7.56292, 6.61256, 98.2089, 42.8775, 7.42019, 7.07708, 99.9126, 72.1502, 3.75991, 202.474, 181.675, 8.97108, 73.2352, 10.364, 16.3134
193, 7.50493, 6.79186, 96.8845, 40.8839, 7.01023, 7.01966, 97.4914, 72.1223, 3.6435, 199.01, 177.316, 7.54097, 74.8795, 6.4565, 16.1555
194, 7.77904, 6.87598, 94.2108, 43.146, 7.31472, 7.02517, 105.457, 68.3849, 4.38837, 200.194, 180.953, 6.88838, 73.9138, 14.5037, 17.0392
195, 7.42779, 6.8198, 92.8697, 41.8662, 7.0619, 7.05821, 98.8052, 72.6112, 4.61542, 198.191, 179.089, 7.7059, 74.1339, 8.27747, 16.3938
196, 6.84799, 6.41821, 83.7869, 34.3087, 6.71144, 6.85059, 93.0771, 66.7982, 2.61626, 174.479, 157.362, -1.17886, 63.7649, 13.4149, 15.8973
197, 6.85341, 6.63138, 86.6142, 31.2984, 7.3293, 6.93897, 96.4697, 60.2917, 1.2061, 176.059, 158.599, 1.82044, 62.939, 17.0554, 16.4754
198, 7.12038, 6.4671, 95.519, 34.0642, 7.19925, 7.11666, 103.035, 63.2342, 1.26244, 188.839, 170.925, 4.48403, 67.4251, 16.03, 19.5797
199, 7.92202, 6.88321, 104.388, 40.8346, 7.36437, 7.39717, 107.949, 66.719, 3.81346, 207.564, 186.467, 10.7178, 77.6414, 10.9544, 19.3531
200, 6.94769, 6.79643, 85.0426, 30.9126, 6.95202, 7.31085, 94.6067, 61.8863, 2.87895, 171.124, 158.046, 2.38767, 70.9784, 5.93421, 17.6942
201, 7.51688, 6.72718, 94.8176, 37.7983, 7.71344, 7.34191, 104.878, 66.5722, 3.50445, 196.504, 178.778, 6.94112, 70.8691, 17.1708, 16.8385
202, 6.905, 6.70258, 84.1986, 31.3061, 7.19723, 7.27915, 98.8524, 57.5361, 3.51005, 174.789, 158.643, 2.6266, 69.0078, 12.9601, 16.8845
203, 7.40776, 6.70493, 96.248, 43.0994, 7.39669, 7.33341, 110.137, 70.9654, 3.95907, 210.633, 190.353, 8.61769, 76.103, 15.1281, 18.906
204, 7.03468, 6.87992, 90.543, 39.1747, 7.22291, 7.31842, 102.047, 68.2694, 3.03139, 188.695, 170.969, 1.40913, 69.2168, 13.9906, 18.839
205, 7.05868, 6.57018, 91.4476, 38.7373, 7.32552, 7.27742, 100.7, 69.2041, 3.25438, 192.935, 174.52, 4.4087, 70.4708, 12.1143, 18.1152
206, 7.69822, 6.70749, 106.685, 38.294, 7.6494, 7.42553, 110.738, 66.2059, 2.93108, 204.698, 186.349, 8.76423, 76.1511, 16.5138, 18.0728
207, 7.68327, 6.92799, 91.3387, 35.9346, 7.28069, 7.36735, 101.036, 66.8297, 3.19464, 191.065, 173.308, 5.62739, 75.268, 7.94782, 17.8206
208, 7.50114, 6.72023, 89.4555, 35.4505, 7.42287, 7.23362, 98.5585, 65.7819, 2.24403, 188.591, 168.932, 4.67782, 72.8259, 9.62176, 16.1109
209, 7.3376, 6.85237, 91.7998, 37.0362, 7.29557, 7.28846, 98.5084, 66.8949, 3.56857, 189.595, 172.414, 6.77111, 75.1943, 7.34816, 15.9659
210, 7.21086, 6.78326, 92.8203, 35.356, 7.31198, 7.24801, 105.709, 60.8801, 3.28571, 188.416, 170.641, 4.30169, 73.8088, 15.3158, 16.5845
211, 7.45095, 6.90261, 96.561, 38.4557, 7.22731, 7.2602, 108.968, 67.6862, 4.43801, 203.318, 185.629, 8.30702, 79.4874, 12.5287, 16.9517
212, 6.65459, 6.79605, 81.4984, 30.8581, 6.97022, 6.98964, 92.0542, 60.2911, 2.64603, 164.875, 150.037, -1.19085, 72.4141, 5.09426, 14.5459
213, 7.0528, 6.5855, 88.0123, 36.0093, 7.36269, 6.9666, 96.6405, 62.1807, 2.63202, 179.764, 161.415, 2.67197, 66.8861, 14.7859, 14.9686
214, 7.52816, 6.69188, 89.2941, 38.0609, 7.41185, 7.01221, 92.9693, 66.2915, 2.92994, 180.076, 164.225, 4.72679, 70.2346, 8.70733, 14.0274
215, 7.23398, 6.86585, 84.9624, 34.8135, 7.36691, 7.04282, 93.5549, 60.4655, 3.04231, 174.915, 158.16, 4.13847, 69.9035, 9.85057, 13.8009
216, 7.57852, 6.93685, 96.1288, 36.487, 7.45725, 7.15605, 102.34, 63.1327, 3.12762, 190.022, 172.516, 6.74258, 72.9081, 13.1382, 16.2943
217, 6.93475, 6.86466, 85.8502, 38.1168, 7.28195, 7.10071, 100.5, 61.0332, 2.62044, 180.276, 163.572, 2.30198, 70.7109, 12.4032, 17.3862
218, 7.31315, 6.97075, 95.1345, 38.3274, 7.47612, 7.22191, 103.521, 65.5435, 2.99053, 196.915, 178.025, 8.39269, 73.4955, 13.0085, 17.0171
219, 7.57248, 7.0829, 92.2777, 36.7311, 7.2566, 7.31607, 102.274, 63.2503, 2.48985, 198.554, 170.124, 4.81449, 70.5473, 14.2407, 17.4856
220, 7.08689, 7.09443, 87.6416, 33.7849, 7.10321, 7.25441, 96.3905, 57.7133, 1.44922, 178.745, 156.096, 2.27564, 67.0356, 12.1416, 17.2133
221, 7.78726, 7.08921, 99.0913, 38.1765, 7.49161, 7.46251, 104.523, 65.5999, 3.35607, 196.539, 178.013, 7.23808, 74.015, 11.8945, 18.6133
222, 7.38063, 7.21717, 92.2065, 34.7804, 7.35214, 7.38274, 100.739, 63.0581, 2.64374, 183.71, 166.705, 3.37284, 72.4387, 11.2676, 17.0329
223, 7.16724, 7.0383, 87.5135, 38.7462, 7.35508, 7.30239, 99.4538, 66.2331, 3.14997, 188.495, 170.882, 5.1396, 71.9191, 11.2789, 16.2558
224, 7.28852, 7.18591, 100.626, 42.1758, 7.25751, 7.44198, 109.624, 65.702, 3.83942, 200.934, 182.135, 6.5723, 73.4211, 18.7614, 17.4415
225, 7.58108, 7.12374, 93.1091, 38.0933, 7.43908, 7.38428, 107.551, 63.9137, 2.72698, 195.568, 176.769, 5.07725, 77.7743, 10.4893, 19.2877
226, 6.89313, 6.92811, 87.6473, 33.7731, 6.93227, 7.18032, 96.0585, 59.7894, 2.14837, 178.505, 154.607, -0.184495, 69.4068, 10.3639, 16.2878
227, 7.22191, 6.61931, 86.8605, 38.2603, 7.30721, 7.00404, 98.7221, 60.0894, 1.64112, 175.146, 158.403, -0.190597, 68.5939, 13.0605, 17.0678
228, 7.19912, 6.88232, 95.85, 35.8249, 7.15215, 7.09337, 104.542, 56.3914, 2.44133, 182.887, 165.894, 4.38706, 71.7157, 15.3251, 17.5015
229, 6.65759, 6.75648, 79.9309, 33.1714, 6.70481, 6.96818, 91.1307, 54.7695, 2.13702, 161.437, 146.208, 0.764288, 68.5917, 6.57393, 15.965
230, 6.90349, 6.86545, 83.1202, 32.7838, 7.24965, 6.88813, 89.8865, 53.6825, 1.87038, 161.701, 145.627, 2.07001, 66.7056, 9.12476, 14.0561
231, 6.87186, 6.60606, 85.3259, 31.6406, 7.17096, 6.91494, 94.6382, 51.8082, 2.01586, 164.974, 146.861, 0.768639, 63.3229, 15.0951, 16.2201
232, 6.52083, 6.65969, 80.2156, 30.1734, 6.87081, 6.78016, 93.2391, 49.6274, 1.75262, 160.093, 144.566, 1.66863, 64.0915, 15.3271, 13.8204
233, 6.68403, 6.75812, 85.9533, 33.7934, 7.01952, 6.79744, 97.9112, 52.9986, 1.91785, 169.556, 153.443, 2.61328, 64.7138, 18.2865, 14.9109
234, 7.50596, 6.99328, 95.261, 37.7268, 7.07208, 6.81253, 96.7765, 57.8377, 2.29344, 181.213, 163.534, 7.88019, 71.4516, 10.4382, 14.8867
235, 7.30752, 6.81487, 90.1135, 36.797, 6.97394, 6.78689, 100.817, 58.4458, 1.58153, 179.373, 161.248, 2.28679, 74.5406, 9.63985, 16.6363
236, 7.33712, 6.84171, 90.12, 39.5243, 6.57421, 6.73243, 94.0571, 66.1758, 2.61756, 182.319, 165.493, 5.06378, 74.2783, 4.94759, 14.8313
237, 7.54579, 6.78879, 90.6133, 38.8513, 6.8657, 6.66989, 102.626, 65.9874, 2.25034, 188.337, 171.586, 3.10794, 78.3502, 7.57368, 16.7018
238, 7.35576, 6.62457, 87.0658, 39.8708, 6.66718, 6.43309, 97.266, 62.8709, 1.76503, 176.136, 159.625, -0.151384, 77.0657, 3.95118, 16.2491
239, 6.72196, 6.61932, 72.6232, 34.7311, 6.48164, 6.23581, 87.8748, 53.9719, 0.18563, 153.363, 139.091, -2.13267, 69.1932, 4.86008, 13.8215
240, 7.13537, 6.64587, 82.9925, 40.5506, 6.80856, 6.36771, 101.244, 56.8331, 2.54844, 180.124, 164.977, 6.12116, 75.892, 10.7822, 14.5699
241, 6.27388, 6.65158, 74.9751, 31.1458, 6.41657, 6.1999, 85.7011, 49.4413, 0.794911, 151.649, 131.238, -2.9188, 64.7797, 7.18942, 13.732
242, 6.44417, 6.68316, 77.756, 30.4683, 6.53094, 6.30799, 83.8863, 47.8745, 1.5461, 150.549, 135.524, 3.38538, 63.1895, 8.66222, 12.0346
243, 7.10498, 6.53485, 76.9902, 34.8695, 7.04569, 6.41156, 88.8226, 49.0935, 1.68134, 154.813, 139.615, 1.76328, 63.007, 12.7686, 13.047
244, 6.85115, 6.63446, 78.2668, 33.6965, 6.87337, 6.62808, 91.2533, 52.3267, 2.11846, 167.415, 150.331, 6.04473, 65.5321, 11.5309, 14.1903
245, 6.95505, 6.37985, 84.4701, 36.0263, 6.63589, 6.63626, 96.1482, 54.0844, 1.54569, 169.339, 153.119, 2.97836, 67.404, 12.663, 16.0811
246, 6.86809, 6.47784, 79.5936, 29.0159, 6.6, 6.46882, 84.273, 51.6051, 0.607332, 149.647, 134.383, -1.02287, 64.1299, 6.05965, 14.0834
247, 6.73773, 6.69687, 85.156, 27.0416, 6.48149, 6.4653, 86.4222, 43.7518, 0.222209, 148.777, 133.025, 2.80162, 61.4798, 11.2875, 13.6549
248, 7.11824, 6.75592, 93.5999, 33.068, 6.78907, 6.67576, 98.6923, 50.8268, 1.23583, 176.809, 155.622, 5.5982, 71.0967, 11.2796, 16.3161
249, 7.09766, 6.36701, 87.2626, 34.4295, 6.60777, 6.41797, 97.4714, 60.0198, 0.0563268, 170.564, 154.483, -1.7838, 70.7849, 10.3644, 16.3222
250, 7.24672, 6.44551, 86.8073, 36.8686, 6.42935, 6.18034, 90.9086, 65.0679, -0.289001, 172.68, 155.896, -0.0214794, 72.1504, 3.23268, 15.5256
251, 6.81372, 6.35554, 84.3946, 27.0874, 6.18901, 6.06784, 82.5325, 52.7671, -0.675159, 158.517, 134.061, -1.29536, 65.2549, 2.71816, 14.5594
252, 6.95838, 6.62496, 92.4263, 32.8186, 6.44685, 6.22013, 98.8974, 58.4321, 1.18486, 180.937, 163.365, 5.23182, 75.7152, 7.1557, 16.0266
253, 6.57399, 6.40689, 82.8354, 24.8552, 6.21475, 6.05903, 90.6561, 50.1548, 0.750105, 153.621, 138.318, -1.7323, 69.9645, 6.45685, 14.2349
254, 6.51542, 6.30159, 78.3211, 24.1109, 6.14976, 5.95353, 86.3515, 50.3117, 0.155674, 150.371, 135.269, -1.20501, 66.547, 5.77953, 14.025
255, 6.66694, 6.12334, 80.8136, 26.3713, 6.20769, 5.93079, 87.7573, 47.0017, 1.14333, 150.497, 136.279, 1.34462, 66.6406, 7.75899, 13.3576
256, 6.89849, 6.28041, 82.9457, 29.615, 6.2785, 5.94587, 92.7119, 52.9531, 0.967658, 164.327, 147.666, 1.99485, 68.7027, 10.406, 13.6032
257, 6.92746, 6.31825, 80.0124, 31.1076, 6.24459, 5.93205, 85.8257, 54.0262, 1.20745, 157.244, 141.955, 1.94379, 69.049, 4.1343, 12.6424
258, 6.82438, 6.24233, 76.4125, 28.6709, 6.31519, 5.9306, 83.2008, 50.4688, 1.08488, 148.506, 134.126, 0.610721, 65.1144, 6.654, 11.4324
259, 5.85842, 6.30106, 66.984, 23.9562, 5.79354, 5.87298, 79.5822, 40.768, 0.193513, 132.862, 118.428, -1.58564, 58.4173, 10.2333, 10.9317
260, 6.4095, 6.29658, 73.2162, 29.0769, 6.35788, 5.89443, 80.1524, 43.5115, 0.321315, 139.694, 125.525, 1.69255, 61.3888, 8.7951, 9.96844
261, 6.60641, 6.19683, 69.3155, 27.7855, 6.22394, 5.85564, 80.1009, 47.5947, 0.177169, 142.249, 128.166, 0.601383, 63.4007, 5.95815, 10.7421
262, 6.57779, 6.06456, 75.1183, 30.7291, 6.17628, 5.86859, 84.2146, 52.6464, 0.33752, 151.952, 136.525, -0.197683, 66.6348, 5.51614, 12.0637
263, 6.84204, 6.04946, 76.89, 32.5736, 6.00747, 5.76931, 83.2006, 54.8388, -0.164622, 155.203, 139.126, 0.83813, 68.3641, 2.4206, 12.4159
264, 6.51327, 6.06465, 78.08, 28.6005, 5.99455, 5.72973, 77.4239, 46.1645, -0.16846, 138.041, 123.102, -0.332074, 64.8797, 2.34632, 10.1978
265, 6.4787, 6.0287, 76.172, 33.5093, 6.02118, 5.73822, 82.9665, 52.2259, -0.441862, 151.515, 134.621, -0.332859, 62.9358, 8.48957, 11.5411
266, 6.15214, 5.93863, 74.5395, 31.8353, 5.86555, 5.63718, 80.9843, 48.8457, -0.34455, 145.615, 129.435, -0.519024, 62.9047, 8.09425, 9.98535
267, 5.94237, 6.05226, 64.0327, 30.3535, 5.82365, 5.5428, 76.9673, 47.7638, -0.570569, 137.925, 122.303, -2.04011, 62.792, 4.3743, 9.80098
268, 5.98136, 6.05109, 64.7413, 26.1969, 5.71393, 5.48209, 77.2509, 38.1642, -0.327733, 129.794, 115.11, -0.360942, 60.6849, 7.19298, 9.37296
269, 6.26845, 6.02989, 68.2045, 35.2857, 5.81743, 5.54396, 78.1412, 50.1201, 0.534377, 149.222, 132.256, 3.42156, 63.889, 4.53678, 9.71546
270, 5.29391, 5.55323, 59.6238, 20.9163, 5.59506, 5.42349, 69.5445, 36.4333, -0.699241, 115.202, 101.184, -3.9626, 52.9474, 7.36579, 9.23133
271, 5.83236, 5.90576, 62.1124, 23.112, 5.69736, 5.43644, 72.3593, 36.8185, -1.44649, 125.141, 109.912, 0.517178, 56.4211, 6.35824, 9.57993
272, 5.6302, 5.82565, 66.355, 30.3261, 5.45204, 5.33629, 74.0467, 49.0398, -1.31239, 134.115, 118.997, -3.35385, 57.5841, 6.33976, 10.1228
273, 5.90764, 5.33792, 65.8863, 32.8754, 5.68498, 5.11509, 73.5531, 49.5816, -2.42002, 131.652, 116.735, -5.86814, 58.9001, 5.18311, 9.46987
274, 5.80265, 5.13727, 66.0742, 29.0444, 5.38907, 4.95613, 74.6727, 49.6827, -3.28151, 133.113, 118.637, -5.1552, 59.8667, 4.99651, 9.80945
275, 5.72734, 5.16777, 65.6311, 27.6252, 5.37285, 4.79827, 73.3903, 47.2412, -3.23706, 129.629, 114.63, -5.82869, 59.8473, 4.26812, 9.27492
276, 5.57388, 5.37006, 57.4351, 28.9816, 5.29405, 4.70462, 69.2456, 46.9063, -2.95889, 125.284, 111.306, -4.94835, 58.8962, 1.45545, 8.89396
277, 5.50817, 5.06383, 57.2262, 28.3054, 5.07075, 4.55073, 67.6237, 46.3759, -2.89753, 124.148, 106.786, -6.76652, 56.5525, 2.79802, 8.27327
278, 5.39372, 4.99442, 59.6324, 30.5986, 5.17274, 4.55338, 68.2033, 49.7065, -2.39159, 127.928, 114.365, -3.73753, 57.498, 2.20834, 8.49692
279, 5.74953, 5.04328, 58.7873, 34.4009, 5.48424, 4.64291, 67.9022, 49.1196, -1.8007, 129.927, 116.081, -1.30866, 57.1959, 2.80625, 7.90006
280, 5.74264, 5.49012, 60.5154, 33.3879, 5.7167, 4.88703, 71.2957, 45.4393, -0.271984, 138.076, 122.924, 4.95821, 60.2346, 3.46865, 7.59244
281, 5.5662, 5.70011, 60.0023, 31.4854, 5.49605, 4.98391, 70.6215, 42.894, -0.302749, 127.848, 115.78, 2.12526, 59.5121, 3.3304, 7.779
282, 5.30729, 5.42705, 53.905, 27.237, 5.43542, 4.92792, 68.5094, 35.4697, -0.94033, 111.351, 101.169, -1.96884, 55.6658, 5.94136, 6.90216
283, 4.89973, 5.41401, 52.8511, 27.9605, 5.28747, 4.91856, 70.4498, 36.6822, -1.32265, 119.952, 108.392, 0.941027, 55.8705, 6.89513, 7.6841
284, 4.99535, 5.13689, 53.7695, 25.3705, 5.48196, 4.93391, 68.9522, 40.6871, -1.50989, 115.689, 105.588, -3.25511, 53.0263, 7.56847, 8.35749
285, 4.99264, 5.13238, 53.7386, 24.5092, 5.61846, 4.90585, 66.4533, 38.2049, -1.93249, 122.815, 103.951, -1.04602, 54.306, 4.46511, 7.68213
286, 5.14668, 5.26505, 57.5808, 27.084, 5.60057, 4.88569, 68.9093, 37.5345, -1.65651, 123.754, 105.637, -1.01681, 56.1354, 5.48157, 7.2923
287, 4.97042, 4.93562, 54.7156, 32.7068, 5.30353, 4.77539, 67.6991, 41.8233, -1.75437, 122.094, 105.702, -3.31244, 54.6688, 4.88521, 8.14513
288, 4.64778, 5.00037, 52.6182, 22.9663, 5.20262, 4.58179, 63.927, 34.4492, -2.38585, 105.281, 92.4218, -5.55737, 52.1346, 4.14009, 7.65234
289, 4.89906, 4.83971, 59.6774, 26.824, 5.13726, 4.53761, 73.7299, 42.7567, -3.13255, 122.91, 108.899, -6.80795, 56.7101, 6.33681, 10.683
290, 4.80817, 4.0969, 56.5879, 27.0141, 4.54158, 4.05059, 69.4618, 49.1725, -6.54958, 118.353, 102.825, -14.4943, 55.9525, 3.2671, 10.2423
291, 4.29526, 3.99586, 46.5218, 27.7988, 4.45235, 3.88339, 56.1469, 43.4831, -6.09135, 101.071, 86.807, -12.3086, 46.7181, 1.66667, 7.76217
292, 4.2013, 4.00143, 48.3918, 30.3355, 4.349, 3.91443, 62.0369, 46.4245, -5.26503, 113.352, 100.345, -8.14658, 47.1531, 7.20104, 7.68274
293, 4.76635, 4.03911, 53.3473, 32.0694, 4.76438, 3.86527, 66.2949, 52.8272, -5.99155, 127.69, 112.647, -6.8095, 53.3176, 4.51414, 8.46315
294, 4.62997, 4.23355, 49.858, 27.1509, 4.90839, 3.93617, 58.4039, 43.1736, -5.20419, 115.057, 97.2387, -4.81005, 51.4047, -0.107324, 7.10655
295, 4.66481, 4.23723, 52.0923, 29.2253, 4.82972, 3.96504, 60.9266, 37.7985, -4.39822, 113.13, 95.3222, -3.62609, 50.9686, 3.13587, 6.82209
296, 4.53724, 4.18985, 49.1936, 25.387, 4.69067, 3.92129, 57.6025, 38.3686, -3.93101, 105.448, 89.7906, -5.8379, 47.5497, 3.617, 6.43583
297, 4.40603, 4.11828, 46.4145, 24.9132, 4.70153, 3.85092, 57.1258, 38.2042, -3.96629, 106.881, 88.0368, -7.00396, 47.2306, 3.28497, 6.61021
298, 4.54595, 4.08103, 48.1699, 26.588, 4.49491, 3.78912, 53.5752, 37.4449, -3.53555, 103.446, 85.3444, -5.78028, 45.9723, 1.17789, 6.425
299, 4.2647, 4.18869, 45.5771, 19.0177, 4.47697, 3.84111, 53.7868, 28.6977, -1.75508, 94.9861, 79.254, -3.55038, 43.4056, 4.88005, 5.50111
300, 4.06272, 4.22263, 40.9284, 16.5174, 4.32182, 3.87515, 52.1751, 27.5712, -1.12973, 91.2016, 76.9767, -2.68625, 41.1207, 5.2913, 5.76317
301, 4.04092, 4.28142, 41.875, 16.51, 4.65267, 3.94031, 51.504, 29.3445, -1.68265, 93.6765, 78.5006, -2.38511, 40.4623, 5.41273, 5.62893
302, 4.02295, 4.12029, 47.7517, 21.3371, 4.29755, 3.87497, 57.6605, 42.3853, -3.73949, 107.176, 91.6307, -7.18021, 40.5963, 9.61978, 7.44436
303, 4.02964, 3.79406, 47.2083, 24.4646, 3.94604, 3.5733, 56.0635, 44.7398, -5.83913, 106.687, 88.8173, -11.3118, 44.335, 3.49002, 8.23847
304, 4.13324, 4.04426, 39.2037, 18.5881, 4.47106, 3.6434, 57.0032, 33.1069, -4.38121, 100.65, 84.1884, -6.52767, 46.5252, 3.4203, 7.05773
305, 4.03143, 3.4483, 43.3677, 25.9956, 3.63795, 3.39555, 46.7476, 49.5687, -6.49397, 96.0093, 82.3519, -12.6482, 37.2856, 2.92713, 6.5348
306, 3.88311, 3.6938, 42.7982, 18.5901, 3.4316, 3.26633, 45.6364, 41.7365, -6.73436, 86.5719, 73.5607, -13.2864, 35.7434, 3.43236, 6.46068
307, 4.28396, 3.547, 49.8914, 22.5732, 3.93355, 3.30526, 55.4123, 43.5692, -5.6341, 108.906, 91.289, -8.39537, 42.0825, 5.91199, 7.41774
308, 4.51766, 3.72342, 43.961, 18.7073, 3.90522, 3.35386, 53.1546, 33.5803, -5.18587, 93.7971, 79.1383, -7.85103, 40.6077, 5.35922, 7.18771
309, 4.5255, 3.44852, 45.5451, 18.8159, 4.04625, 3.4768, 48.3649, 35.8437, -4.67214, 92.1275, 80.799, -3.52399, 41.1317, 0.658512, 6.57473
310, 4.54623, 3.58525, 43.0116, 20.7541, 4.08854, 3.55239, 49.5071, 34.6443, -5.0891, 90.0386, 81.2053, -3.13433, 40.1904, 3.03619, 6.28052
311, 3.94102, 3.46953, 34.8573, 21.1113, 3.92409, 3.50402, 42.5735, 33.3132, -4.54158, 78.5432, 68.9244, -6.63388, 35.3607, 1.51514, 5.6976
312, 3.61743, 3.21926, 36.5657, 8.42391, 3.4094, 3.27525, 45.7583, 27.2011, -5.49177, 68.1195, 57.0017, -14.5377, 31.3813, 6.9587, 7.41826
313, 3.55165, 3.24778, 37.5955, 8.49058, 3.15926, 3.07533, 42.1319, 23.9313, -5.23057, 65.0581, 55.0226, -11.0038, 31.3901, 4.51238, 6.22941
314, 3.71446, 3.34282, 41.6756, 17.619, 3.28074, 3.07692, 48.9265, 36.4379, -5.50938, 89.1503, 75.9501, -9.10349, 33.3724, 9.1163, 6.43777
315, 3.87981, 3.43804, 41.9722, 15.1486, 3.40885, 3.02759, 46.0669, 34.4041, -6.25365, 86.2485, 71.6212, -9.14373, 36.6008, 2.862, 6.60404
316, 3.9049, 3.33033, 36.1942, 13.0364, 3.49119, 3.12896, 45.0111, 25.4314, -5.18673, 73.3727, 63.386, -7.13566, 33.0772, 6.04051, 5.89348
317, 3.8712, 2.81527, 43.3876, 28.1833, 2.84047, 2.79639, 43.5185, 48.8014, -7.23113, 87.4252, 72.9874, -17.2959, 33.5726, 2.73819, 7.20764
318, 3.73464, 2.69778, 36.6427, 21.3806, 2.62279, 2.5087, 40.9127, 43.3602, -7.90267, 80.1512, 66.05, -17.8256, 32.7063, 1.58481, 6.62156
319, 3.4057, 2.98246, 30.4149, 11.72, 2.66012, 2.50412, 37.847, 30.3661, -6.37245, 64.6403, 53.4725, -14.7804, 27.6215, 4.70992, 5.51558
320, 3.89702, 3.05528, 41.3083, 20.2639, 3.28411, 2.82647, 45.1191, 34.8794, -4.00353, 91.2623, 78.4993, -3.19658, 33.0923, 6.49879, 5.52799
321, 3.59422, 3.28833, 38.173, 17.2878, 3.2421, 2.92516, 43.0308, 33.3581, -5.15966, 79.8514, 69.8737, -6.45533, 32.2726, 4.43047, 6.32779
322, 3.55406, 3.16533, 38.9525, 18.4715, 3.25997, 2.87389, 44.7695, 40.7784, -6.81207, 88.5481, 75.7721, -9.41163, 34.0247, 4.17984, 6.56496
323, 3.69215, 2.74962, 39.939, 16.4338, 3.02681, 2.72106, 44.3593, 39.8832, -6.66991, 83.0258, 69.7142, -13.6666, 32.5761, 5.00228, 6.78097
324, 3.69918, 2.90502, 38.5309, 13.2701, 3.14556, 2.68361, 43.4441, 31.5022, -6.38752, 77.74, 65.3265, -9.89309, 33.2922, 3.42825, 6.72369
325, 3.56038, 3.24977, 37.8971, 14.0925, 3.38523, 2.81616, 43.651, 29.7719, -4.91086, 87.4063, 69.8334, -4.59719, 34.2152, 3.28601, 6.14985
326, 3.53856, 3.26506, 36.1913, 11.5979, 3.38629, 2.93801, 42.5404, 23.5901, -3.45675, 77.1651, 61.8254, -4.49056, 31.0207, 6.29349, 5.22624
327, 3.13083, 3.22452, 29.4722, 9.9996, 3.08743, 2.91864, 38.5291, 22.4515, -2.96681, 66.0537, 54.7456, -6.01977, 27.698, 6.37137, 4.4598
328, 3.53654, 2.92205, 36.941, 18.527, 2.98524, 2.80702, 42.0854, 35.4078, -4.87152, 80.8622, 67.1417, -9.39686, 29.3525, 7.08288, 5.65001
329, 3.33292, 2.86727, 29.2453, 8.02389, 2.8752, 2.66151, 36.7057, 27.0167, -6.33193, 64.4426, 51.5087, -12.0272, 28.1453, 2.96066, 5.59974
330, 3.2536, 3.05263, 36.0726, 15.1699, 2.91744, 2.80548, 41.2992, 27.1609, -4.1574, 75.8649, 64.8034, -4.17156, 28.5428, 7.11867, 5.63773
331, 3.00416, 2.9656, 33.7074, 16.7921, 2.51313, 2.55792, 42.4785, 38.1351, -7.22943, 74.653, 62.1417, -16.8417, 26.1006, 9.5908, 6.787
