#yyyy, mm, dd, LEAFC_1, DEADSTEMC_1, LIVESTEMC_1, DEADCROOTC_1, LIVECROOTC_1, FROOTC_1, TLAI_1, HTOP_1
1919,1,1,21.0063,742.723,2.15386,227.067,0.646748,31.6494,0.21316,11.237
1920,1,1,25.7991,754.541,3.13378,230.535,0.940456,38.8028,0.262238,11.2951
1921,1,1,36.903,785.438,5.06882,239.76,1.52125,55.4579,0.377786,11.447
1922,1,1,51.7741,833.078,7.32723,254.135,2.20021,77.8578,0.53505,11.6737
1923,1,1,72.8333,905.665,10.4541,276.043,3.1403,109.602,0.763008,12.0026
1924,1,1,105.144,1020.77,15.2547,310.654,4.58259,158.226,1.12448,12.4903
1925,1,1,144.718,1174.7,20.777,357.202,6.24605,218.131,1.58804,13.0878
1926,1,1,201.592,1398.31,28.8824,424.356,8.67542,303.449,2.2959,13.8692
1927,1,1,262.173,1670.68,36.4962,506.473,10.9731,395.218,3.10495,14.7179
1928,1,1,295.815,1912.33,39.263,585.23,11.9989,459.53,3.57935,15.3985
1929,1,1,314.817,2132.13,39.8125,658.003,12.2345,497.92,3.85844,15.9666
1930,1,1,348.052,2401.94,42.8672,740.819,13.0521,544.802,4.36205,16.6134
1931,1,1,379.509,2689.85,45.3469,827.284,13.7076,586.527,4.85701,17.2529
1932,1,1,398.101,2961.95,45.8686,909.716,13.8387,611.909,5.15873,17.8167
1933,1,1,407.65,3217.37,45.5154,987.586,13.7283,625.154,5.31676,18.315
1934,1,1,417.222,3471.33,46.0439,1066.23,13.9046,640.649,5.47708,18.7848
1935,1,1,423.81,3720.31,46.1245,1143.02,13.9286,650.589,5.58842,19.2239
1936,1,1,426.499,3962.49,45.4847,1216.34,13.7096,652.296,5.634,19.6325
1937,1,1,421.999,4181.02,44.0882,1283.18,13.285,644.664,5.55759,19.987
1938,1,1,428.549,4421.06,45.1649,1355.21,13.5858,652.033,5.66931,20.3624
1939,1,1,437.514,4668.91,46.3804,1429.37,13.9378,663.445,5.82318,20.7361
1940,1,1,434.669,4879.52,45.6097,1496.14,13.7557,662.601,5.77402,21.0436
1941,1,1,427.033,5069.37,44.2584,1556.6,13.3624,653.052,5.64319,21.313
1942,1,1,434.505,5295.98,45.7254,1624.93,13.7704,661.951,5.7715,21.6259
1943,1,1,443.806,5532.35,46.985,1695.29,14.1228,673.241,5.93233,21.943
1944,1,1,447.55,5756.89,47.0309,1762.24,14.126,677.098,5.99757,22.236
1945,1,1,447.347,5968.91,46.5613,1825.49,13.9805,675.558,5.99408,22.5057
1946,1,1,451.306,6185.37,47.148,1890.49,14.1586,681.018,6.06352,22.7746
1947,1,1,452.901,6394.94,47.1592,1953.46,14.163,683.072,6.09156,23.029
1948,1,1,449.856,6591.76,46.2756,2012.2,13.894,677.844,6.03795,23.2629
1949,1,1,441.541,6767.25,44.7695,2064.86,13.4429,665.166,5.89283,23.4676
1950,1,1,443.878,6959.96,45.6621,2122.24,13.7067,668.102,5.93364,23.6882
1951,1,1,449.644,7160.67,46.7849,2181.94,14.0412,676.276,6.03434,23.9138
1952,1,1,446.931,7333.41,46.1456,2235.58,13.8711,673.909,5.98674,24.1046
1953,1,1,438.591,7483.62,44.7549,2282.77,13.4629,662.706,5.84171,24.2681
1954,1,1,443.686,7664.71,46.0692,2337.21,13.8451,669.676,5.93039,24.4622
1955,1,1,450.817,7855.17,47.216,2393.74,14.1777,679.331,6.05494,24.6632
1956,1,1,453.149,8034.72,47.2403,2447.21,14.1813,682.242,6.09586,24.8497
1957,1,1,452.038,8202.69,46.7848,2497.32,14.0438,680.234,6.07638,25.0217
1958,1,1,455.45,8375.38,47.4025,2549.44,14.2332,685.537,6.13657,25.1961
1959,1,1,456.781,8542.41,47.4533,2599.88,14.2505,687.672,6.16006,25.3625
1960,1,1,453.784,8698.95,46.6349,2646.62,14.0015,682.855,6.10704,25.5165
1961,1,1,445.644,8834.81,45.1874,2687.57,13.5682,670.69,5.96427,25.6487
1962,1,1,448.451,8990.32,46.1751,2733.81,13.8606,674.506,6.01354,25.7983
1963,1,1,454.876,9155.56,47.4051,2782.87,14.2273,683.796,6.12645,25.9554
1964,1,1,452.734,9290.57,46.8348,2825.82,14.0782,682.402,6.08856,26.0824
1965,1,1,444.829,9403.44,45.4854,2862.49,13.6826,671.943,5.95008,26.1876
1966,1,1,450.423,9551.23,46.8512,2907.08,14.08,679.706,6.04822,26.324
1967,1,1,458.104,9710.48,48.0608,2954.2,14.4313,690.207,6.18357,26.4695
1968,1,1,461.246,9860.24,48.1939,2998.74,14.4675,694.353,6.23927,26.6049
1969,1,1,460.862,9999.33,47.8178,3040.2,14.3539,693.448,6.23252,26.7294
1970,1,1,465.227,10144.1,48.5585,3084.1,14.5802,700.201,6.31041,26.8578
1971,1,1,467.442,10284.4,48.7046,3126.66,14.6262,703.681,6.35005,26.9811
1972,1,1,465.365,10416.1,47.9874,3165.94,14.4075,700.245,6.31275,27.0957
1973,1,1,458.18,10527.9,46.6435,3199.78,14.0053,689.523,6.18482,27.1924
1974,1,1,462.216,10661.8,47.787,3239.53,14.3443,695.178,6.25683,27.3072
1975,1,1,469.95,10807.2,49.1702,3282.57,14.757,706.428,6.39521,27.4307
1976,1,1,468.723,10920.2,48.6677,3319.36,14.629,706.469,6.37297,27.526
1977,1,1,461.034,11010,47.272,3349.64,14.2199,696.391,6.23555,27.6012
1978,1,1,466.913,11137.6,48.6356,3388.27,14.6163,704.566,6.34082,27.7075
1979,1,1,475.1,11278.7,49.8989,3429.85,14.9832,715.794,6.48815,27.824
1980,1,1,478.89,11411.1,50.1136,3469.15,15.0438,720.893,6.55682,27.9325
1981,1,1,479.218,11533.8,49.8249,3505.67,14.9562,721.044,6.56291,28.0322
1982,1,1,484.645,11663.5,50.7118,3545.1,15.2266,729.396,6.66206,28.1369
1983,1,1,487.084,11787.7,50.8186,3582.9,15.2609,733.221,6.70675,28.2364
1984,1,1,484.893,11903.3,50.0362,3617.34,15.0224,729.601,6.66644,28.3284
1985,1,1,477.895,11999.8,48.7083,3646.61,14.6252,719.162,6.53876,28.4048
1986,1,1,481.753,12118.4,49.7968,3681.7,14.9475,724.53,6.60929,28.498
1987,1,1,489.133,12248.1,51.1158,3719.98,15.3408,735.24,6.74458,28.5994
1988,1,1,488.154,12345,50.6845,3752.28,15.2348,735.712,6.72635,28.6746
1989,1,1,480.87,12419.2,49.3698,3778.28,14.8505,726.294,6.59298,28.7319
1990,1,1,487.302,12534.2,50.8092,3813.14,15.2692,735.279,6.71105,28.8203
1991,1,1,495.246,12661.9,51.9846,3850.62,15.6093,746.107,6.85766,28.9179
1992,1,1,498.983,12781.4,52.1858,3885.94,15.6657,751.104,6.92709,29.0085
1993,1,1,499.262,12891.3,51.8842,3918.55,15.5742,751.163,6.93242,29.0915
1994,1,1,504.66,13008,52.7681,3954.11,15.8437,759.473,7.03352,29.1789
1995,1,1,506.697,13118.5,52.8009,3987.85,15.8559,762.701,7.07178,29.2614
1996,1,1,504.385,13221.5,52.0176,4018.44,15.617,758.885,7.02818,29.3378
1997,1,1,497.619,13306.1,50.7471,4044.16,15.237,748.793,6.90168,29.4002
1998,1,1,501.41,13413.1,51.8162,4075.64,15.5533,754.045,6.97272,29.4788
1999,1,1,508.627,13531,53.1097,4110.3,15.939,764.503,7.10834,29.5649
2000,1,1,508.078,13616.2,52.7694,4139.29,15.8607,765.65,7.09771,29.6268
2001,1,1,500.537,13677.3,51.3898,4161.64,15.4573,755.883,6.95619,29.6711
2002,1,1,506.41,13779.9,52.7231,4192.76,15.8439,764.02,7.06666,29.7451
2003,1,1,513.705,13895.3,53.8022,4226.41,16.1549,773.849,7.20448,29.8279
2004,1,1,517.738,14004.2,54.1087,4258.51,16.2427,779.278,7.2812,29.9056
2005,1,1,518.758,14105.3,53.9558,4288.39,16.1957,780.435,7.30086,29.9774
2006,1,1,525.279,14214.5,55.0237,4321.68,16.5205,790.427,7.42608,30.0546
2007,1,1,527.839,14317.1,55.0871,4353.03,16.542,794.446,7.47545,30.1267
2008,1,1,525.799,14412.3,54.3004,4381.23,16.302,791.029,7.43591,30.1934
2009,1,1,519.346,14489.5,53.0492,4404.67,15.9278,781.405,7.31196,30.2472
