#yyyy, mm, dd, LEAFC_1, DEADSTEMC_1, LIVESTEMC_1, DEADCROOTC_1, LIVECROOTC_1, FROOTC_1, TLAI_1, HTOP_1
2010,1,1,523.064,14588.8,54.0666,4433.75,16.2284,786.531,7.38356,30.3161
2011,1,1,529.987,14698.5,55.2946,4465.83,16.5944,796.547,7.51722,30.3919
2012,1,1,529.523,14775.1,54.9797,4492.41,16.5243,797.863,7.5079,30.4446
2013,1,1,521.558,14826.3,53.5234,4511.99,16.0981,787.504,7.35443,30.4797
2014,1,1,527.18,14920.4,54.822,4540.56,16.4741,795.254,7.46298,30.5441
2015,1,1,533.735,15026.6,55.778,4571.34,16.7478,803.948,7.59,30.6164
2016,1,1,537.348,15126.6,56.0461,4600.67,16.8239,808.729,7.66043,30.6842
2017,1,1,537.696,15218,55.8041,4627.56,16.7501,808.862,7.66741,30.7458
2018,1,1,543.737,15317.5,56.8286,4657.9,17.0619,818.126,7.78613,30.8127
2019,1,1,545.042,15408.2,56.6956,4685.66,17.0246,820.268,7.81183,30.8734
2020,1,1,541.545,15490.6,55.7111,4709.93,16.7252,814.659,7.74275,30.9283
2021,1,1,533.816,15554.4,54.3196,4729.31,16.3089,803.121,7.59145,30.9708
