#yyyy, mm, dd, LEAFC_14, DEADSTEMC_14, LIVESTEMC_14, DEADCROOTC_14, LIVECROOTC_14, FROOTC_14, TLAI_14, HTOP_14
2011,1,1,20.9316,0,0,0,0,18.844,0.805028,0.25
2012,1,1,26.2028,0,0,0,0,23.527,1.00776,0.340288
2013,1,1,37.9168,0,0,0,0,34.0961,1.45828,0.400335
2014,1,1,15.4202,0,0,0,0,13.8814,0.593063,0.25
2015,1,1,16.1657,0,0,0,0,14.5508,0.621732,0.25
2016,1,1,16.7921,0,0,0,0,15.1156,0.645826,0.25
2017,1,1,17.1191,0,0,0,0,15.4128,0.658402,0.25
2018,1,1,18.3468,0,0,0,0,16.5183,0.705616,0.25
2019,1,1,17.5827,0,0,0,0,15.8288,0.67623,0.25
2020,1,1,19.5633,0,0,0,0,17.6133,0.752404,0.25
2021,1,1,22.3987,0,0,0,0,20.1655,0.861453,0.25
