#yyyy, mm, dd, LEAFC_14, DEADSTEMC_14, LIVESTEMC_14, DEADCROOTC_14, LIVECROOTC_14, FROOTC_14, TLAI_14, HTOP_14
1919,1,1,10.3705,0,0,0,0,9.3383,0.398848,0.25
1920,1,1,15.905,0,0,0,0,14.328,0.611707,0.25
1921,1,1,18.8433,0,0,0,0,17.0033,0.724714,0.25
1922,1,1,14.959,0,0,0,0,13.5049,0.575323,0.25
1923,1,1,9.82646,0,0,0,0,8.87861,0.377926,0.25
1924,1,1,8.94407,0,0,0,0,8.07057,0.343989,0.251818
1925,1,1,11.0822,0,0,0,0,10.0254,0.426221,0.251682
1926,1,1,4.51463,0,0,0,0,4.07602,0.173633,0.25
1927,1,1,3.81837,0,0,0,0,3.45486,0.146855,0.25
1928,1,1,5.32272,0,0,0,0,4.89146,0.204712,0.25
1929,1,1,4.38573,0,0,0,0,3.99549,0.168675,0.25
1930,1,1,4.35974,0,0,0,0,3.93663,0.167675,0.25
1931,1,1,4.48703,0,0,0,0,4.04836,0.172571,0.25
1932,1,1,4.49832,0,0,0,0,4.06388,0.173006,0.25
1933,1,1,4.59975,0,0,0,0,4.15481,0.176906,0.25
1934,1,1,11.6288,0,0,0,0,10.5088,0.447243,0.25
1935,1,1,5.76368,0,0,0,0,5.2057,0.221671,0.25
1936,1,1,6.7541,0,0,0,0,6.10312,0.259763,0.25
1937,1,1,8.58983,0,0,0,0,7.75244,0.330365,0.25
1938,1,1,9.07119,0,0,0,0,8.17734,0.348878,0.25
1939,1,1,8.66657,0,0,0,0,7.81954,0.333316,0.25
1940,1,1,13.0715,0,0,0,0,11.8534,0.502732,0.252477
1941,1,1,19.7913,0,0,0,0,17.9007,0.761174,0.27924
1942,1,1,8.54017,0,0,0,0,7.6992,0.328455,0.25
1943,1,1,8.40826,0,0,0,0,7.57456,0.323382,0.25
1944,1,1,8.29286,0,0,0,0,7.4723,0.318943,0.25
1945,1,1,8.44288,0,0,0,0,7.61236,0.324713,0.25
1946,1,1,9.0423,0,0,0,0,8.15017,0.347767,0.25
1947,1,1,8.73418,0,0,0,0,7.8687,0.335917,0.25
1948,1,1,9.93414,0,0,0,0,8.95096,0.382067,0.25
1949,1,1,11.9804,0,0,0,0,10.7916,0.460766,0.25
1950,1,1,12.086,0,0,0,0,10.8823,0.464826,0.25
1951,1,1,11.4277,0,0,0,0,10.2915,0.439508,0.25
1952,1,1,17.8893,0,0,0,0,16.1003,0.688023,0.279175
1953,1,1,25.4181,0,0,0,0,22.8806,0.977579,0.314634
1954,1,1,10.4304,0,0,0,0,9.39137,0.401155,0.25
1955,1,1,10.6265,0,0,0,0,9.56566,0.408694,0.25
1956,1,1,10.8494,0,0,0,0,9.76679,0.41727,0.25
1957,1,1,11.2594,0,0,0,0,10.1374,0.433038,0.25
1958,1,1,12.1633,0,0,0,0,10.9511,0.467802,0.25
1959,1,1,11.6861,0,0,0,0,10.5204,0.449449,0.25
1960,1,1,13.0421,0,0,0,0,11.7422,0.501599,0.25
1961,1,1,15.3674,0,0,0,0,13.8352,0.591031,0.25
1962,1,1,15.4097,0,0,0,0,13.8712,0.592657,0.25
1963,1,1,14.5367,0,0,0,0,13.0868,0.559082,0.25
1964,1,1,19.4562,0,0,0,0,17.4705,0.748285,0.300349
1965,1,1,31.2761,0,0,0,0,28.1277,1.20288,0.352808
1966,1,1,12.8289,0,0,0,0,11.5487,0.4934,0.25
1967,1,1,13.1151,0,0,0,0,11.8049,0.504406,0.25
1968,1,1,13.4335,0,0,0,0,12.0923,0.516652,0.25
1969,1,1,13.8666,0,0,0,0,12.4846,0.533311,0.25
1970,1,1,14.9812,0,0,0,0,13.4882,0.576179,0.25
1971,1,1,14.4047,0,0,0,0,12.9678,0.554004,0.25
1972,1,1,15.9014,0,0,0,0,14.3165,0.611567,0.25
1973,1,1,18.5444,0,0,0,0,16.6956,0.713219,0.25
1974,1,1,18.6128,0,0,0,0,16.7545,0.715847,0.25
1975,1,1,17.6257,0,0,0,0,15.8678,0.677886,0.25
1976,1,1,23.3524,0,0,0,0,20.969,0.898134,0.324051
1977,1,1,35.7282,0,0,0,0,32.131,1.37411,0.383464
1978,1,1,14.815,0,0,0,0,13.3366,0.569785,0.25
1979,1,1,15.3204,0,0,0,0,13.7899,0.589222,0.25
1980,1,1,15.7188,0,0,0,0,14.1495,0.604545,0.25
1981,1,1,16.0935,0,0,0,0,14.4896,0.618957,0.25
1982,1,1,17.2145,0,0,0,0,15.499,0.662069,0.25
1983,1,1,16.4937,0,0,0,0,14.8485,0.634348,0.25
1984,1,1,18.1243,0,0,0,0,16.318,0.697061,0.25
1985,1,1,20.7798,0,0,0,0,18.7082,0.799193,0.25
1986,1,1,20.7078,0,0,0,0,18.6404,0.796422,0.25
1987,1,1,19.6291,0,0,0,0,17.6715,0.754936,0.25
1988,1,1,25.6777,0,0,0,0,23.0573,0.987565,0.337909
1989,1,1,37.5621,0,0,0,0,33.779,1.44464,0.3968
1990,1,1,15.5369,0,0,0,0,13.9865,0.59755,0.25
1991,1,1,16.2179,0,0,0,0,14.5978,0.62374,0.25
1992,1,1,16.7546,0,0,0,0,15.0819,0.644382,0.25
1993,1,1,17.1736,0,0,0,0,15.4621,0.660497,0.25
1994,1,1,18.437,0,0,0,0,16.5997,0.709086,0.25
1995,1,1,17.7196,0,0,0,0,15.9522,0.681497,0.25
1996,1,1,19.4914,0,0,0,0,17.5489,0.749639,0.25
1997,1,1,22.1631,0,0,0,0,19.9536,0.852391,0.25
1998,1,1,22.0029,0,0,0,0,19.8063,0.846232,0.25
1999,1,1,20.8392,0,0,0,0,18.761,0.801476,0.25
2000,1,1,26.2788,0,0,0,0,23.5945,1.01068,0.341515
2001,1,1,39.0164,0,0,0,0,35.0863,1.50057,0.407672
2002,1,1,16.0553,0,0,0,0,14.4532,0.617488,0.25
2003,1,1,16.905,0,0,0,0,15.2163,0.650167,0.25
2004,1,1,17.5172,0,0,0,0,15.7683,0.67371,0.25
2005,1,1,17.8306,0,0,0,0,16.0535,0.685766,0.25
2006,1,1,18.9841,0,0,0,0,17.0923,0.73013,0.25
2007,1,1,18.0915,0,0,0,0,16.287,0.695799,0.25
2008,1,1,19.8579,0,0,0,0,17.8788,0.763737,0.25
2009,1,1,22.479,0,0,0,0,20.238,0.864544,0.25
2010,1,1,22.1993,0,0,0,0,19.983,0.853785,0.25
