#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
218, 7.31315, 6.97075, 95.1345, 38.3274, 5.52422, 5.22796, 68.8551, 90.6182, 2.99053, 196.915, 169.307, 8.95525, 41.3688, 10.2122, 17.2741
219, 7.57248, 7.0829, 92.2777, 36.7311, 5.39456, 5.24547, 69.7965, 87.3976, 2.48985, 198.554, 161.884, 5.14883, 39.9371, 12.457, 17.4024
220, 7.08689, 7.09443, 87.6416, 33.7849, 5.25421, 5.23666, 63.8377, 81.649, 1.44922, 178.745, 148.221, 3.09899, 37.9766, 8.98386, 16.8773
221, 7.78726, 7.08921, 99.0913, 38.1765, 5.43651, 5.2875, 69.302, 90.7064, 3.35607, 196.539, 169.211, 8.19415, 41.8806, 9.44358, 17.9778
222, 7.38063, 7.21717, 92.2065, 34.7804, 5.42691, 5.2816, 69.1556, 85.9789, 2.64374, 183.71, 158.451, 4.04866, 40.1586, 11.5679, 17.4291
223, 7.16724, 7.0383, 87.5135, 38.7462, 5.43954, 5.24635, 64.7559, 91.5759, 3.14997, 188.495, 162.221, 5.72481, 40.9095, 7.22854, 16.6178
224, 7.28852, 7.18591, 100.626, 42.1758, 5.35799, 5.26973, 74.5213, 91.1317, 3.83942, 200.934, 173.354, 7.43992, 41.7371, 15.3723, 17.4118
225, 7.58108, 7.12374, 93.1091, 38.0933, 5.45406, 5.26177, 69.5621, 91.6324, 2.72698, 195.568, 167.669, 6.02089, 43.9631, 6.7367, 18.8623
226, 6.89313, 6.92811, 87.6473, 33.7731, 5.21057, 5.21544, 64.4815, 83.6031, 2.14837, 178.505, 146.583, 0.218736, 38.8845, 9.01563, 16.5813
227, 7.22191, 6.61931, 86.8605, 38.2603, 5.44338, 5.16941, 68.503, 82.0266, 1.64112, 175.146, 150.299, -0.00310665, 38.5004, 12.8978, 17.1048
228, 7.19912, 6.88232, 95.85, 35.8249, 5.30448, 5.16229, 70.419, 81.687, 2.44133, 182.887, 157.345, 4.26628, 40.7096, 11.343, 18.3663
229, 6.65759, 6.75648, 79.9309, 33.1714, 4.98133, 5.08935, 60.3848, 77.44, 2.13702, 161.437, 138.291, 1.26952, 37.6271, 6.37828, 16.3794
230, 6.90349, 6.86545, 83.1202, 32.7838, 5.28657, 5.07171, 60.6652, 74.4402, 1.87038, 161.701, 137.909, 2.82056, 36.5955, 9.23752, 14.8321
231, 6.87186, 6.60606, 85.3259, 31.6406, 5.23785, 5.11567, 62.2814, 76.0926, 2.01586, 164.974, 139.26, 1.3461, 35.6434, 9.93586, 16.7022
232, 6.52083, 6.65969, 80.2156, 30.1734, 5.06793, 5.04786, 65.5028, 69.9305, 1.75262, 160.093, 137.168, 1.68719, 35.4917, 14.1174, 15.8937
233, 6.68403, 6.75812, 85.9533, 33.7934, 5.18657, 5.07394, 67.6926, 75.2876, 1.91785, 169.556, 145.644, 2.88887, 36.2198, 14.6792, 16.7936
234, 7.50596, 6.99328, 95.261, 37.7268, 5.21547, 5.06024, 62.9059, 82.6705, 2.29344, 181.213, 155.148, 7.76673, 40.7218, 5.36758, 16.8166
235, 7.30752, 6.81487, 90.1135, 36.797, 5.24571, 5.06191, 68.5214, 82.3003, 1.58153, 179.373, 153.037, 2.81194, 41.5616, 8.02293, 18.9369
236, 7.33712, 6.84171, 90.12, 39.5243, 5.06065, 5.01964, 64.3816, 87.2673, 2.61756, 182.319, 157.084, 5.16944, 41.7681, 4.65743, 17.9561
237, 7.54579, 6.78879, 90.6133, 38.8513, 5.33914, 5.02177, 68.8347, 90.3944, 2.25034, 188.337, 162.449, 3.32178, 44.6601, 4.88253, 19.292
238, 7.35576, 6.62457, 87.0658, 39.8708, 5.21841, 4.95516, 66.4149, 85.5883, 1.76503, 176.136, 151.131, -0.327438, 43.2877, 3.13341, 19.9938
239, 6.72196, 6.61932, 72.6232, 34.7311, 5.05067, 4.90781, 61.3451, 72.8608, 0.18563, 153.363, 131.523, -1.72878, 38.2501, 5.985, 17.11
240, 7.13537, 6.64587, 82.9925, 40.5506, 5.24023, 4.9341, 69.6024, 79.1136, 2.54844, 180.124, 156.179, 6.28291, 42.9198, 8.56243, 18.1201
241, 6.27388, 6.65158, 74.9751, 31.1458, 4.92805, 4.87046, 59.3955, 69.0377, 0.794911, 151.649, 123.786, -3.15178, 35.4033, 6.6291, 17.3631
242, 6.44417, 6.68316, 77.756, 30.4683, 4.94828, 4.91267, 58.1817, 66.1955, 1.5461, 150.549, 128.346, 3.4031, 34.9008, 8.46058, 14.8203
243, 7.10498, 6.53485, 76.9902, 34.8695, 5.20605, 4.95412, 60.1605, 70.2112, 1.68134, 154.813, 132.18, 1.9306, 34.5737, 10.5325, 15.0543
244, 6.85115, 6.63446, 78.2668, 33.6965, 5.05521, 4.99698, 60.2889, 75.1741, 2.11846, 167.415, 142.425, 5.77603, 37.1281, 7.17817, 15.9827
245, 6.95505, 6.37985, 84.4701, 36.0263, 5.0285, 5.01409, 66.0996, 76.1095, 1.54569, 169.339, 144.758, 2.71541, 38.2133, 10.093, 17.7934
246, 6.86809, 6.47784, 79.5936, 29.0159, 5.01224, 4.95691, 56.7964, 71.7707, 0.607332, 149.647, 127.027, -0.886482, 35.6313, 5.15889, 16.0062
247, 6.73773, 6.69687, 85.156, 27.0416, 4.84683, 4.96003, 58.9402, 64.094, 0.222209, 148.777, 126.293, 3.1821, 34.163, 9.43929, 15.3378
248, 7.11824, 6.75592, 93.5999, 33.068, 5.04949, 5.02872, 68.1553, 73.5526, 1.23583, 176.809, 147.665, 5.27047, 39.9598, 8.69844, 19.4971
249, 7.09766, 6.36701, 87.2626, 34.4295, 5.17357, 4.95489, 65.805, 84.6693, 0.0563268, 170.564, 146.436, -2.24934, 39.8949, 6.14931, 19.7608
250, 7.24672, 6.44551, 86.8073, 36.8686, 5.13259, 4.8732, 61.7543, 86.9559, -0.289001, 172.68, 147.985, -0.725586, 40.9302, 1.64579, 19.1783
251, 6.81372, 6.35554, 84.3946, 27.0874, 4.83785, 4.82893, 59.4435, 69.4737, -0.675159, 158.517, 127.624, -1.35948, 36.2101, 5.38597, 17.8473
252, 6.95838, 6.62496, 92.4263, 32.8186, 5.0489, 4.90408, 67.0803, 81.2179, 1.18486, 180.937, 155.124, 5.64865, 43.0342, 4.56723, 19.4789
253, 6.57399, 6.40689, 82.8354, 24.8552, 4.84834, 4.88008, 64.0125, 69.4838, 0.750105, 153.621, 130.871, -1.37869, 38.4735, 7.28562, 18.2533
254, 6.51542, 6.30159, 78.3211, 24.1109, 4.79048, 4.85476, 61.3903, 68.0522, 0.155674, 150.371, 128.017, -1.27163, 36.8397, 6.76533, 17.7853
255, 6.66694, 6.12334, 80.8136, 26.3713, 4.84638, 4.8652, 61.0489, 66.2972, 1.14333, 150.497, 128.802, 1.15181, 37.2088, 6.60007, 17.24
256, 6.89849, 6.28041, 82.9457, 29.615, 4.95887, 4.86454, 63.7086, 74.7114, 0.967658, 164.327, 140.088, 1.73801, 39.3351, 6.50932, 17.8642
257, 6.92746, 6.31825, 80.0124, 31.1076, 4.93234, 4.86382, 60.8602, 72.0687, 1.20745, 157.244, 134.616, 1.43926, 38.8836, 4.07598, 17.9006
258, 6.82438, 6.24233, 76.4125, 28.6709, 4.88725, 4.87009, 60.2023, 66.7306, 1.08488, 148.506, 127.286, 0.670516, 35.8462, 7.86329, 16.4928
259, 5.85842, 6.30106, 66.984, 23.9562, 4.42394, 4.85971, 55.6417, 57.961, 0.193513, 132.862, 112.033, -1.18872, 32.2766, 8.33022, 15.0349
260, 6.4095, 6.29658, 73.2162, 29.0769, 4.79092, 4.87779, 56.9159, 60.9749, 0.321315, 139.694, 118.627, 0.440529, 32.8464, 6.96894, 17.1006
261, 6.60641, 6.19683, 69.3155, 27.7855, 4.78126, 4.86681, 57.4592, 64.9602, 0.177169, 142.249, 121.467, -0.735235, 34.6555, 4.07166, 18.732
262, 6.57779, 6.06456, 75.1183, 30.7291, 4.84999, 4.85086, 62.253, 69.8084, 0.33752, 151.952, 130.007, -1.83084, 36.6917, 5.20553, 20.3557
263, 6.84204, 6.04946, 76.89, 32.5736, 4.76731, 4.77737, 60.8512, 71.832, -0.164622, 155.203, 132.352, -0.793659, 37.7976, 1.51567, 21.5379
264, 6.51327, 6.06465, 78.08, 28.6005, 4.69677, 4.76494, 54.9016, 62.8019, -0.16846, 138.041, 116.811, -0.622555, 35.3968, 1.95335, 17.5515
265, 6.4787, 6.0287, 76.172, 33.5093, 4.75446, 4.75996, 59.7057, 68.7352, -0.441862, 151.515, 127.983, -0.0644307, 35.0041, 7.95801, 16.7436
266, 6.15214, 5.93863, 74.5395, 31.8353, 4.68484, 4.72196, 54.9678, 66.2966, -0.34455, 145.615, 122.278, 0.756004, 35.807, 4.58251, 14.5783
267, 5.94237, 6.05226, 64.0327, 30.3535, 4.61953, 4.68498, 53.4068, 63.9833, -0.570569, 137.925, 115.371, -1.40072, 34.3035, 4.58411, 14.5192
268, 5.98136, 6.05109, 64.7413, 26.1969, 4.43987, 4.63511, 51.8474, 55.9264, -0.327733, 129.794, 108.24, 0.3227, 32.8667, 5.08585, 13.8948
269, 6.26845, 6.02989, 68.2045, 35.2857, 4.60673, 4.65929, 56.8771, 64.9799, 0.534377, 149.222, 125.29, 2.65886, 35.3082, 4.91533, 16.6536
270, 5.29391, 5.55323, 59.6238, 20.9163, 4.37369, 4.65004, 50.6114, 51.1987, -0.699241, 115.202, 95.2824, -5.35092, 28.487, 5.97806, 16.1463
271, 5.83236, 5.90576, 62.1124, 23.112, 4.47472, 4.61868, 51.185, 53.6192, -1.44649, 125.141, 104.453, -0.724963, 31.6399, 3.16645, 16.3787
272, 5.6302, 5.82565, 66.355, 30.3261, 4.48342, 4.60185, 56.8655, 62.2305, -1.31239, 134.115, 112.991, -4.92831, 32.9392, 5.91668, 18.0097
273, 5.90764, 5.33792, 65.8863, 32.8754, 4.69073, 4.52354, 52.9152, 65.0079, -2.42002, 131.652, 110.406, -6.90579, 33.0647, 2.77967, 17.0709
274, 5.80265, 5.13727, 66.0742, 29.0444, 4.69358, 4.47707, 55.6964, 64.7229, -3.28151, 133.113, 112.822, -6.66023, 34.3397, 4.86057, 16.4961
275, 5.72734, 5.16777, 65.6311, 27.6252, 4.67231, 4.4136, 54.7728, 61.8857, -3.23706, 129.629, 108.761, -7.78037, 34.0495, 2.73336, 17.9899
276, 5.57388, 5.37006, 57.4351, 28.9816, 4.59205, 4.37669, 52.2886, 58.9491, -2.95889, 125.284, 105.635, -5.72245, 33.6427, 1.7816, 16.8642
277, 5.50817, 5.06383, 57.2262, 28.3054, 4.49072, 4.34318, 48.4437, 60.3032, -2.89753, 124.148, 100.932, -7.27208, 32.2212, 1.40311, 14.8194
278, 5.39372, 4.99442, 59.6324, 30.5986, 4.57432, 4.3368, 49.4804, 62.3531, -2.39159, 127.928, 108.207, -3.88731, 33.0849, 2.297, 14.0986
279, 5.74953, 5.04328, 58.7873, 34.4009, 4.70138, 4.39031, 47.4386, 62.677, -1.8007, 129.927, 109.896, -0.718734, 32.1947, 3.582, 11.6619
280, 5.74264, 5.49012, 60.5154, 33.3879, 4.7088, 4.50454, 47.5364, 60.7649, -0.271984, 138.076, 116.107, 6.02576, 34.1569, 2.2542, 11.1253
281, 5.5662, 5.70011, 60.0023, 31.4854, 4.57343, 4.55907, 47.9759, 58.188, -0.302749, 127.848, 109.242, 2.98532, 32.9148, 3.51938, 11.5417
282, 5.30729, 5.42705, 53.905, 27.237, 4.4249, 4.52155, 45.1318, 52.6665, -0.94033, 111.351, 94.8801, -1.71064, 29.4697, 4.74657, 10.9155
283, 4.89973, 5.41401, 52.8511, 27.9605, 4.35278, 4.51097, 47.6348, 53.4113, -1.32265, 119.952, 102.274, 0.744128, 31.0629, 5.50404, 11.0678
284, 4.99535, 5.13689, 53.7695, 25.3705, 4.48407, 4.50595, 47.6345, 56.4382, -1.50989, 115.689, 99.718, -3.22224, 29.3246, 7.05564, 11.2543
285, 4.99264, 5.13238, 53.7386, 24.5092, 4.56535, 4.49841, 46.2235, 52.523, -1.93249, 122.815, 98.3355, -0.916481, 30.0425, 5.35722, 10.8238
286, 5.14668, 5.26505, 57.5808, 27.084, 4.5789, 4.5036, 44.6141, 55.175, -1.65651, 123.754, 99.7388, -0.343891, 31.7764, 2.01202, 10.8257
287, 4.97042, 4.93562, 54.7156, 32.7068, 4.48913, 4.50982, 47.2959, 56.32, -1.75437, 122.094, 99.715, -3.09651, 30.9199, 4.88476, 11.4912
