#ET values from R14c, AR03, R09c, AR03
#label,ET0/P,ET/P,label,ET0/P,ET/P
"US-NC2",0.8431270368440292,0.7288568784077032,"ALT-US-NC2",0.8431270368440292,0.667524831024586
"US-LL1",1.1121241242227862,0.7294244716589048,"ALT-US-LL1",1.1121241242227862,0.8799825871259722

