#i, obs_G3d_cycle, obs_Rn3d_cycle
239, 1.2043, 129.084
240, 1.54629, 122.835
241, 1.84555, 137.052
242, 1.54437, 145.977
243, 1.7529, 132.538
244, 0.899833, 132.908
245, 0.307511, 121.372
246, 0.79383, 128.692
247, 0.442792, 145.967
248, 0.898008, 138.03
249, 0.931435, 124.93
250, 0.240422, 108.138
251, 0.650063, 113.963
252, 0.233383, 130.038
253, 0.0103787, 129.861
254, 0.0126344, 123.418
255, 0.378658, 109.544
256, 0.218562, 126.074
257, -0.315644, 113.137
258, -0.436777, 124.272
259, -0.185969, 105.175
260, 0.278104, 104.47
261, -0.137274, 114.506
262, -0.403641, 101.874
263, -0.185138, 107.908
264, -0.477966, 102.685
265, 0.292492, 99.9254
266, 0.0626218, 102.019
267, -0.616706, 112.052
268, -1.2036, 78.9375
269, -0.60667, 99.5666
270, 0.150559, 97.0805
271, -0.342901, 102.404
272, -1.03252, 93.9567
273, -1.83618, 94.8969
274, -2.228, 92.1132
275, -2.26157, 103.802
276, -0.471493, 106.055
277, -0.754704, 96.1609
278, -1.84722, 93.4627
279, -1.55476, 85.3739
280, -0.65422, 81.9465
281, -1.63883, 66.817
282, -1.81807, 74.9395
283, -1.31771, 69.2205
284, -1.97971, 76.1281
285, -2.11592, 76.7594
286, -2.32073, 87.0067
287, -3.19666, 73.8917
288, -3.40745, 87.1112
289, -3.8397, 78.8122
290, -4.24053, 73.3873
291, -2.98069, 70.7648
292, -2.22557, 74.377
293, -3.11438, 82.0766
294, -3.71187, 88.656
295, -4.14233, 70.7475
296, -3.75949, 78.846
297, -2.66481, 65.0792
298, -3.73117, 70.0318
299, -3.89323, 60.9674
300, -2.85449, 54.1903
301, -1.66171, 48.7774
302, -4.88127, 51.3883
303, -5.73897, 64.7315
304, -4.524, 57.6916
305, -3.07861, 47.2788
306, -3.00951, 35.1924
307, -4.11662, 54.7893
308, -4.5204, 48.0118
309, -4.31655, 63.3794
310, -3.94341, 51.3237
311, -3.99755, 47.7112
312, -5.99197, 48.5058
313, -4.62305, 48.5706
314, -4.15229, 43.5741
315, -6.32886, 50.9369
316, -5.44661, 51.5582
317, -4.87928, 35.5809
318, -4.37603, 48.1757
319, -3.78413, 41.3094
320, -3.4104, 43.6187
321, -5.3293, 44.4704
322, -4.24968, 35.6388
323, -3.75947, 36.2904
324, -5.14219, 33.8578
