#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cyle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle, clm_Qstor3d_cycle, clm_Rnet3d_cycle
245, 9.48337, 8.91923, 96.3018, 25.7172, 6.97079, 6.52569, 58.0877, 52.6726, 43.7368, 6.52163, 7.8293, -0.694535, 110.057
246, 8.76923, 9.10325, 92.8739, 15.6588, 7.22552, 6.59611, 65.6056, 54.355, 45.5173, 12.0368, 8.05158, 1.18657, 121.287
247, 9.46581, 9.24341, 113.638, 29.3125, 7.68343, 6.58747, 70.1723, 65.9525, 52.679, 7.11019, 10.3831, -0.113808, 136.148
248, 10.852, 9.36194, 108.17, 23.187, 7.51091, 6.55015, 61.4083, 56.8373, 46.5442, 6.68078, 8.18331, 1.64071, 119.893
249, 11.0561, 9.5056, 99.2128, 27.1447, 7.21046, 6.60192, 64.548, 47.7946, 43.7925, 12.9327, 7.82272, 2.21708, 114.06
250, 9.81341, 9.59797, 90.0684, 18.1329, 7.26816, 6.5754, 65.78, 44.0572, 39.1191, 18.5719, 8.08899, -2.16027, 107.357
251, 10.0161, 9.725, 90.4874, 12.4959, 7.35575, 6.58539, 61.573, 44.9171, 40.3418, 14.105, 7.12623, 0.552275, 107.165
252, 10.1645, 9.74042, 103.71, 17.7651, 7.36408, 6.53748, 63.0951, 60.0942, 45.4089, 8.77884, 8.90733, -0.292601, 122.885
253, 9.85782, 9.51784, 101.056, 23.0328, 7.25995, 6.45553, 64.1839, 51.4227, 44.6763, 9.66025, 9.8474, -1.7394, 113.723
254, 11.1418, 9.49135, 96.4431, 22.6552, 7.33497, 6.44072, 57.3235, 56.0077, 45.5009, 2.73172, 9.0909, -1.20255, 112.118
255, 9.53549, 9.50073, 89.5769, 20.5163, 7.11756, 6.47253, 53.869, 47.0978, 39.7842, 6.56739, 7.51741, -0.435245, 100.372
