#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cyle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle, clm_Qstor3d_cycle, clm_Rnet3d_cycle
167, 11.8643, 8.77968, 121.562, 40.019, 9.97835, 8.56121, 116.075, 45.0835, 96.2622, 6.05581, 13.7564, 3.79911, 165.085
168, 11.9015, 9.02021, 123.612, 34.0868, 10.7475, 8.91367, 122.187, 36.681, 96.0817, 12.2402, 13.8652, 4.1229, 163.039
169, 11.6408, 8.69002, 128.034, 32.3215, 10.6583, 8.88938, 131.336, 38.4337, 102.491, 13.6909, 15.1541, 5.01842, 175.401
170, 11.6239, 8.85348, 131.578, 30.8326, 10.5752, 8.9941, 134.233, 38.7624, 103.701, 13.34, 17.192, 5.25782, 178.447
171, 11.2737, 8.78808, 118.866, 32.739, 10.2287, 8.81309, 120.966, 37.6591, 92.7106, 12.8558, 15.3998, 2.81261, 160.273
172, 11.457, 8.66585, 115.811, 24.7344, 10.7964, 8.79112, 125.834, 26.5865, 92.2812, 18.6359, 14.9165, 4.00719, 156.76
173, 12.0168, 8.90352, 125.055, 27.8607, 10.6376, 8.83741, 127.999, 33.932, 98.7469, 13.0488, 16.2036, 5.84864, 168.803
174, 11.4226, 8.71468, 120.017, 29.5348, 10.8819, 9.03956, 124.035, 34.4949, 95.3222, 15.0108, 13.7016, 5.56208, 163.511
175, 11.5727, 9.20339, 112.481, 27.6336, 10.9222, 9.02052, 129.595, 32.8184, 100.23, 14.0413, 15.3231, 4.86469, 167.902
176, 11.6141, 9.23455, 116.537, 26.7879, 10.8746, 8.96592, 121.674, 37.5146, 97.2794, 10.1087, 14.2855, 4.20833, 163.176
177, 10.7804, 9.09237, 119.998, 27.9525, 10.477, 8.8323, 130.497, 33.11, 92.906, 21.5306, 16.0601, 2.9634, 166.335
178, 11.3477, 9.15626, 102.562, 32.8374, 9.78147, 8.49236, 110.757, 36.2629, 88.7127, 8.36077, 13.6839, 2.25097, 148.958
179, 10.8053, 9.17771, 120.25, 24.9576, 10.4478, 8.83525, 135.083, 31.037, 98.1604, 20.5207, 16.4023, 4.54318, 171.28
180, 11.0453, 9.04032, 108.731, 28.5553, 9.73216, 8.40403, 113.215, 34.2964, 89.9192, 8.93215, 14.3631, 3.09057, 150.054
181, 11.0765, 8.95022, 113.407, 29.346, 10.6297, 9.02897, 125.716, 30.9836, 92.1994, 19.0353, 14.481, 5.28197, 162.297
182, 11.4526, 8.98208, 119.037, 26.0053, 10.8717, 9.19375, 128.629, 32.1894, 95.3804, 18.4191, 14.8295, 4.75329, 165.588
183, 11.9046, 8.80437, 126.221, 36.8797, 10.6828, 8.88401, 134.98, 31.0192, 99.2683, 20.4526, 15.2589, 5.24574, 171.605
184, 11.7516, 8.74732, 119.297, 31.8088, 10.7187, 8.91786, 128.746, 44.5489, 100.67, 12.993, 15.0827, 4.14939, 177.142
185, 11.8999, 8.80633, 119.323, 37.9981, 10.5862, 8.82488, 132.877, 38.1298, 99.484, 18.1098, 15.2837, 3.71358, 175.065
186, 10.5041, 8.83941, 120.133, 27.44, 10.7005, 8.88527, 123.86, 39.2119, 97.129, 13.2722, 13.4589, 4.93239, 167.96
187, 10.8031, 8.95094, 117.479, 22.4108, 10.4847, 9.03642, 127.24, 31.517, 91.3354, 21.9358, 13.9685, 5.2277, 163.885
188, 11.6121, 8.98084, 133.046, 25.6053, 10.7566, 9.28591, 132.572, 40.1821, 104.164, 12.5263, 15.8821, 5.97008, 179.18
189, 12.1912, 9.13386, 133.762, 24.5812, 10.8777, 9.28316, 129.649, 38.8521, 100.976, 14.7494, 13.9237, 5.04918, 173.433
190, 11.9675, 9.17768, 122.861, 19.893, 10.6425, 9.14241, 126.584, 31.5082, 92.9891, 19.994, 13.6005, 3.84533, 161.592
191, 12.1763, 9.26012, 116.848, 27.6354, 10.2209, 9.11771, 113.138, 35.5282, 88.0402, 11.6975, 13.4, 2.65271, 150.534
192, 11.25, 9.40768, 113.993, 22.8799, 10.425, 9.18221, 119.468, 34.104, 85.4721, 19.435, 14.5613, 3.82196, 157.73
193, 11.3127, 9.58956, 114.845, 21.3284, 10.6952, 9.31609, 118.485, 30.6187, 88.5512, 16.0551, 13.879, 4.38926, 153.804
194, 9.91879, 9.49585, 103.444, 24.0867, 10.0698, 9.05241, 110.434, 29.8067, 79.0245, 18.3182, 13.091, 3.95687, 143.746
195, 11.0976, 9.5586, 119.576, 23.1555, 10.5728, 9.36709, 127.644, 32.3674, 90.029, 23.3058, 14.3094, 5.41222, 165.901
196, 12.5138, 9.89219, 128.726, 28.7168, 10.7844, 9.65854, 123.356, 47.718, 99.4724, 7.8854, 15.998, 5.75188, 177.207
197, 11.9893, 9.9055, 117.965, 18.306, 10.7735, 9.45738, 113.567, 31.0084, 87.009, 13.3082, 13.2495, 2.86748, 146.824
198, 11.1172, 9.53016, 127.844, 31.0465, 10.5727, 9.29599, 131.272, 36.0709, 93.9437, 22.6895, 14.6384, 3.36921, 170.733
199, 11.7542, 9.58508, 127.437, 29.6392, 10.5168, 9.46757, 124.489, 41.4468, 97.6624, 12.098, 14.7283, 5.11757, 171.918
200, 11.8455, 9.67324, 124.238, 29.6556, 10.507, 9.47478, 119.97, 40.1814, 98.9089, 6.41731, 14.6442, 5.03088, 165.484
201, 10.9084, 9.51681, 119.856, 21.417, 10.3568, 9.39397, 110.152, 42.3072, 93.8333, 2.87633, 13.4428, 4.19156, 155.795
202, 11.275, 9.54636, 125.6, 20.3024, 10.2877, 9.40195, 126.24, 33.1582, 93.0714, 18.4897, 14.679, 4.15312, 164.081
203, 11.0956, 9.53127, 115.714, 17.1506, 10.3139, 9.26093, 116.379, 32.5196, 87.9211, 13.0231, 15.4344, 3.39041, 151.529
204, 12.0199, 9.71126, 109.625, 22.4578, 10.4023, 9.35225, 115.978, 31.5026, 86.4592, 15.6798, 13.8385, 4.18775, 151.844
